"id","duration"
"FR_01123",15369
"FR_01124",15981.8
"FR_01125",17596
"FR_01127",16957.9
"FR_01128",15248.8
"FR_01129",17882.7
"FR_01130",16314.1
"FR_01133",20756.7
"FR_01134",15007.1
"FR_01135",21997.2
"FR_01136",15687.7
"FR_01138",20855.4
"FR_01139",15510.1
"FR_01140",16173.9
"FR_01141",20054.2
"FR_01142",17674.6
"FR_01143",21300.5
"FR_01145",17191.8
"FR_01146",16549.3
"FR_01147",16403.4
"FR_01148",18612
"FR_01149",17519.5
"FR_01150",16813.9
"FR_01151",17142.1
"FR_01152",18919
"FR_01153",21786.9
"FR_01155",18816.4
"FR_01156",18229.4
"FR_01157",16435.1
"FR_02210",5995.7
"FR_02211",6824.5
"FR_02212",6474.1
"FR_02213",4978
"FR_02214",7346.9
"FR_02215",6980.5
"FR_02216",4774.6
"FR_02217",6408.7
"FR_02218",7372.7
"FR_02219",6680.4
"FR_02220",5585.8
"FR_02221",3976.2
"FR_02222",7154.7
"FR_02223",5154.1
"FR_02224",6535.5
"FR_02225",4813.1
"FR_02226",5150.9
"FR_02227",5440.1
"FR_02228",4977.6
"FR_02229",7565.3
"FR_02230",6177.4
"FR_02231",7582.8
"FR_02232",4089.7
"FR_02233",5499.6
"FR_02234",7152.3
"FR_02235",7270.1
"FR_02236",6618.5
"FR_02237",7770.4
"FR_02238",7131
"FR_02239",4803.3
"FR_01158",19745.1
"FR_01159",14791.8
"FR_01160",20649
"FR_01162",20602.9
"FR_01163",16157
"FR_01165",16184.7
"FR_01166",16381
"FR_01167",15770.5
"FR_01169",15996.6
"FR_01170",17822.7
"FR_01171",18387.6
"FR_01173",20371.4
"FR_01174",19096.8
"FR_01175",15099.9
"FR_01177",17577.2
"FR_01179",15492.9
"FR_01180",21110.6
"FR_01181",18074.7
"FR_01183",15876.6
"FR_01184",17351.8
"FR_01185",19332.5
"FR_01187",18958.9
"FR_01188",16078.7
"FR_01189",19158.6
"FR_01190",19886.2
"FR_01191",18287.5
