"id","duration"
"FR_32396",27755.6
"FR_32397",30515.1
"FR_32398",27979.5
"FR_32399",27118.8
"FR_32400",28795.8
"FR_32401",30643.7
"FR_33407",21297.5
"FR_33408",22759.2
"FR_33409",23507.3
"FR_33411",23859.2
"FR_33412",23948.4
"FR_33413",22331.5
"FR_33414",21342.2
"FR_33415",20886.9
"FR_33416",20702.8
"FR_33417",23468.4
"FR_33418",24679.3
"FR_33419",24112.1
"FR_33420",22725.7
"FR_33421",22987.8
"FR_33422",22961.1
"FR_33423",23313.2
"FR_33424",24145.7
"FR_33425",20877.6
"FR_33426",22598.4
"FR_33427",24150.9
"FR_33428",24254.6
"FR_33429",24744.3
"FR_33431",22931.1
"FR_33432",23802
"FR_33433",21191
"FR_33434",21377.1
"FR_33435",23392
"FR_33436",24017.6
"FR_33437",22859.5
"FR_33438",23513.1
"FR_33439",21002.6
"FR_31563",25328.6
"FR_31564",29709.7
"FR_31565",29269.5
"FR_31566",27170.1
"FR_31567",26553.7
"FR_31568",27025.8
"FR_31569",28724.3
"FR_31570",27598.3
"FR_31571",26880.7
"FR_31572",26804.8
"FR_31573",26694
"FR_31574",26635.5
"FR_31575",26233.6
"FR_31576",26841.2
"FR_31577",26707.4
"FR_31578",26561.6
"FR_31579",25524.4
"FR_31580",26511.2
"FR_31581",25077.8
"FR_31582",27008.2
"FR_31583",25077.3
"FR_31584",24760.5
"FR_31585",29549.3
"FR_31586",30385
"FR_31587",25267.9
"FR_31588",26275.4
"FR_31589",26791.7
"FR_31590",30996.1
"FR_31591",28942
"FR_31592",25824.4
"FR_31593",28769.7
"FR_32001",28867.7
"FR_35061",12235.1
"FR_35062",13049.4
"FR_35063",14020.1
"FR_35064",16239.9
"FR_35065",14586.2
"FR_35066",13831.7
"FR_35067",14266.8
"FR_35068",12949
"FR_35069",13269.2
"FR_35070",15326.2
"FR_35071",14381.4
"FR_35072",12892.2
"FR_35075",14822.3
"FR_35076",14229.4
"FR_35077",13592.6
"FR_35078",15053.6
"FR_35079",14098.3
"FR_35080",14815.2
"FR_35081",14488.2
"FR_35082",14289.7
"FR_35084",16259.9
"FR_35085",15428.6
"FR_35086",13641.6
"FR_35087",12412.4
"FR_35088",13895.8
"FR_32402",29548.9
"FR_32403",29521.4
"FR_32404",28672.6
"FR_32405",28191.9
"FR_32406",27173.8
"FR_32407",28509.3
"FR_32408",28603.4
"FR_32409",30218.4
"FR_32410",27886.3
"FR_32411",29189.4
"FR_32412",28523.6
"FR_32413",29609.2
"FR_32414",28186
"FR_32415",31233.5
"FR_32416",26714.4
"FR_32417",28459.1
"FR_32418",28451.2
"FR_32419",30504.3
"FR_32420",28226.6
"FR_32421",27858.4
"FR_32422",29866
"FR_32423",29334.8
"FR_32424",27469
"FR_32425",26469.7
"FR_32426",29469.3
"FR_32427",30079.2
"FR_32428",28750.5
"FR_32429",27289
"FR_32430",29548
"FR_32431",27286
"FR_33440",24113.1
"FR_33441",20503.9
"FR_33442",22043.1
"FR_33443",24335.4
"FR_33444",24027.9
"FR_33445",21868
"FR_33446",24397.7
"FR_33447",22602.6
"FR_33448",22349.5
"FR_33449",23055.9
"FR_33450",25443.6
"FR_33451",21394.3
"FR_33452",23310.1
"FR_33453",25026.4
"FR_33454",22969.7
"FR_33456",19775.7
"FR_33457",23702.7
"FR_33458",20491.9
"FR_33459",22662.3
"FR_33460",23454.2
"FR_33461",23284.5
"FR_33462",23961.8
"FR_33463",23712.6
"FR_33464",23834.6
"FR_33465",23476.3
"FR_33466",22586.5
"FR_33467",24470.6
"FR_33468",23665.9
"FR_33470",21137.9
"FR_33471",24274.3
"FR_33472",22697.4
"FR_32002",27642.8
"FR_32003",29254.6
"FR_32004",27678.7
"FR_32005",27959.4
"FR_32007",26411.2
"FR_32008",29555.4
"FR_32009",29385
"FR_32010",30137.3
"FR_32012",27667.3
"FR_32013",28474.6
"FR_32014",27360.2
"FR_32015",30537.5
"FR_32016",27435.2
"FR_32017",27902.4
"FR_32018",28205.8
"FR_32019",29005
"FR_32020",30412.3
"FR_32021",26171.5
"FR_32022",29049.4
"FR_32023",27138
"FR_32024",28990
"FR_32025",28389.4
"FR_32026",27485.4
"FR_32027",27218.4
"FR_32028",31044.3
"FR_32029",29072.2
"FR_32030",30433.3
"FR_32031",29139.7
"FR_32032",29856
"FR_32033",30203.7
"FR_32034",30523.7
"FR_50419",13605.6
"FR_50420",12685.6
"FR_50421",13779.9
"FR_50422",13420.7
"FR_50423",12786.2
"FR_50425",14785.5
"FR_50426",13949.7
"FR_50428",13866.6
"FR_50429",14155.4
"FR_50430",13863.7
"FR_50431",12952.5
"FR_50433",14879.1
"FR_50435",14219.7
"FR_50436",13838.2
"FR_50437",13266.5
"FR_50442",15514.1
"FR_50443",14479.8
"FR_50444",11762.4
"FR_50445",13228.2
"FR_50446",12134.8
"FR_50447",13739.5
"FR_50448",13981.5
"FR_50450",13246.1
"FR_50451",13250.2
"FR_50452",14159.6
"FR_50453",12321.3
"FR_50454",14961.6
"FR_51292",8815.1
"FR_51293",7238.7
"FR_51294",6533.7
"FR_51295",9302.7
"FR_51296",10728.2
"FR_51298",6204.4
"FR_51299",6933.7
"FR_51300",10062.4
"FR_51301",7831.2
"FR_51302",7415.3
"FR_51303",7653.4
"FR_51304",5710.2
"FR_51305",6036
"FR_51306",5473.4
"FR_51307",8921.7
"FR_51308",6374.1
"FR_51309",5651.6
"FR_51310",5892.2
"FR_51311",10277.8
"FR_51312",7590.9
"FR_51313",6411.4
"FR_51314",5634.4
"FR_51315",10417
"FR_51316",10203.1
"FR_51317",8937.1
"FR_51318",6838.3
"FR_51319",7858.9
"FR_51320",5989.5
"FR_51321",5636.1
"FR_47250",25532.3
"FR_47251",25489.8
"FR_47252",25983.7
"FR_47253",24751.4
"FR_47254",25618.4
"FR_47255",26388.2
"FR_47256",24553.1
"FR_47257",25051
"FR_47258",27855.7
"FR_47259",24861.9
"FR_47260",25725.4
"FR_47262",26577.2
"FR_47263",25159.7
"FR_47264",24875.6
"FR_47265",25351.5
"FR_47266",28229.2
"FR_47267",25600.6
"FR_47269",26408.6
"FR_47271",25213.4
"FR_47272",24234.4
"FR_47273",26261.1
"FR_47274",26445.8
"FR_47275",26762.7
"FR_47276",26833.8
"FR_47277",24571
"FR_47278",24742.3
"FR_47279",26261.8
"FR_47280",25582.5
"FR_49244",13351.4
"FR_49246",11793.7
"FR_49247",12799.6
"FR_49248",13987.5
"FR_49253",13618.5
"FR_49257",10508.1
"FR_49259",12559.5
"FR_49260",14650.3
"FR_49261",12322.2
"FR_49262",12793.7
"FR_49266",12419.9
"FR_49267",11341.5
"FR_49269",14398.1
"FR_49271",12398.5
"FR_49272",12227.8
"FR_49278",11901.5
"FR_49283",12613.6
"FR_49284",12455.2
"FR_49288",12190.3
"FR_49291",13077
"FR_50455",12354.2
"FR_50456",13531.1
"FR_50457",14109.9
"FR_50461",13566.7
"FR_50462",13609.5
"FR_50463",13111.2
"FR_50464",13577.1
"FR_50467",13497.6
"FR_50468",12533.1
"FR_50469",15039.2
"FR_50471",15064.4
"FR_50472",13204.5
"FR_50473",11943.1
"FR_50474",13381.5
"FR_50475",12487.5
"FR_50476",12043.5
"FR_50478",13862
"FR_50479",13435
"FR_50480",15178.9
"FR_50481",14554
"FR_50482",13594.5
"FR_50483",12368
"FR_50484",14490
"FR_50486",14769.4
"FR_50487",13894.1
"FR_50488",12697.3
"FR_50489",13058.7
"FR_51322",10231.8
"FR_51323",6454.6
"FR_51324",6601.3
"FR_51325",9272
"FR_51326",7347.1
"FR_51327",6952
"FR_51328",9086.6
"FR_51329",6338.5
"FR_51333",6564.5
"FR_51334",9445.8
"FR_51336",8952.8
"FR_51337",6554.2
"FR_51338",6734
"FR_51339",8331.8
"FR_51340",9061.7
"FR_51341",9420.9
"FR_51342",7222
"FR_51343",6769.6
"FR_51344",6380.2
"FR_51345",6331.2
"FR_51346",5713.9
"FR_51348",5871.3
"FR_51349",10334.1
"FR_51350",5843.6
"FR_51351",6965.8
"FR_51352",9159.7
"FR_51353",7196.1
"FR_51354",8361.6
"FR_51355",9828.5
"FR_51356",9688.8
"FR_47281",26490.2
"FR_47282",27286.9
"FR_47283",24729.1
"FR_47284",25129.5
"FR_47285",24659.2
"FR_47286",26080.3
"FR_47287",27253.2
"FR_47288",26421.8
"FR_47289",26336
"FR_47290",24700.1
"FR_47291",25896.8
"FR_47292",24240.3
"FR_47293",26521.9
"FR_47294",24935.7
"FR_47295",25570.2
"FR_47296",25179.1
"FR_47297",26940
"FR_47298",25311.6
"FR_47299",24836.5
"FR_47300",26630.9
"FR_47301",25346.2
"FR_47302",27844.6
"FR_47303",24754.5
"FR_47304",25609.5
"FR_47305",26067.6
"FR_49292",12660.9
"FR_49294",12142.1
"FR_49298",12089
"FR_49299",14306
"FR_49301",15267.9
"FR_49302",13687.9
"FR_49306",12293.7
"FR_49307",11626.8
"FR_49308",12004.8
"FR_49310",14345.3
"FR_49311",11984.1
"FR_49321",13266
"FR_49323",11124.3
"FR_49326",11366.3
"FR_49328",12263.2
"FR_49329",12478
"FR_49330",12229.9
"FR_49331",13178.7
"FR_49332",14562.6
"FR_50490",15147.4
"FR_50491",12148.3
"FR_50492",12095.4
"FR_50493",13263
"FR_50495",12867.2
"FR_50496",13866.7
"FR_50498",13893.4
"FR_50499",13280.9
"FR_50500",14240.4
"FR_50502",12040
"FR_50504",11630.6
"FR_50505",13428.2
"FR_50506",14093.8
"FR_50507",13666.1
"FR_50509",12981.7
"FR_50510",13206.3
"FR_50511",13824.7
"FR_50512",12700.4
"FR_50513",12967.9
"FR_50514",12875.2
"FR_50517",13362.8
"FR_50518",12919.5
"FR_50519",14455.7
"FR_50521",12576.6
"FR_50522",15203.5
"FR_51357",7471.4
"FR_51358",10414.1
"FR_51359",5433.8
"FR_51360",6116
"FR_51361",9301.8
"FR_51362",6222.2
"FR_51363",9317.6
"FR_51364",6077
"FR_51365",6071.6
"FR_51367",7640.8
"FR_51368",11339.1
"FR_51369",5932.7
"FR_51370",9016.1
"FR_51371",9259.1
"FR_51372",7982.9
"FR_51373",9957.4
"FR_51374",6642.6
"FR_51375",6139.5
"FR_51376",6257.3
"FR_51377",8138.8
"FR_51378",7064
"FR_51379",6631.1
"FR_51380",5231.6
"FR_51381",6548.7
"FR_51382",5912.2
"FR_51384",7211.5
"FR_51386",5816
"FR_51387",7303.6
"FR_51388",7822.8
"FR_51389",7535.3
"FR_51390",6987.4
"FR_47306",26519.2
"FR_47307",24691
"FR_47308",25711.7
"FR_47309",25677.7
"FR_47310",25993.9
"FR_47311",24053.1
"FR_47312",24452.7
"FR_47313",25870.1
"FR_47314",25389.2
"FR_47315",25068.3
"FR_47316",26204.7
"FR_47317",26227.5
"FR_47318",26050.2
"FR_47319",25919.1
"FR_47320",25752.4
"FR_47321",24371.1
